We,are,the,Knights,Who,Say,Ni!
z,0.11112409324301874,0.5684755290459766,a,q,-0.10151506235964752,0.5801192770977733
f,-0.4324285184422313,-0.16335917519049767,q,j,-1.4127673445703628,-1.5881369591181562
t,0.04202890504735981,-1.1421552316357033,y,l,0.7099110390319975,-0.021780489581449288
a,0.4381368464156792,1.0111272374245703,z,d,0.15265485990688724,-0.020157734344672718
d,0.21833090415994183,0.1454586210562601,a,f,-1.3048772478886037,-1.0954035351629892
m,-0.6712099353017501,-0.2642061693379947,x,s,-0.25619435079657943,-0.3309760439735116
g,0.7325801111529197,-0.5019451762498135,t,f,0.8078422866432747,0.16008122005028613
k,-0.17901067957843858,0.17669909141634757,j,v,0.38940911264054673,-0.10459560972777719
x,0.42208425456649923,-0.13718636948505067,f,q,0.5871812518696445,0.25404435292855276
v,-0.44197482152479256,-1.0218798173961425,d,u,0.5613140881278704,0.5921910278039973
a,-0.9590823024578375,1.2098850139493804,m,m,-0.5054323436738226,1.4892596160384852
t,-0.14214445296508965,-1.9717677170675212,k,j,-2.073903430603011,1.068312470181567
n,1.3622136572740327,0.3423608717309792,v,y,0.35856486176004754,0.22099716654002652
g,0.2543368880460804,-2.2358250969791196,m,a,0.5172163800540454,-0.17982514860795268
n,-0.2337147038075401,0.4534217976179963,h,w,0.9158432893251752,-0.0015518425996986639
j,-0.5985617639203556,1.1632042926877375,y,g,0.22502089917727747,1.1255152534047326
f,-0.02979754817754137,0.3335162066785072,b,l,0.594502609818062,-0.7521831584944726
m,0.8273280841586336,0.6444880973840168,z,r,2.341886805707856,-0.7936660257938609
o,0.7290182255432881,0.6825790865247154,x,c,-0.5918997178099125,-0.37047577016168737
f,-0.4199646760649242,0.09939145418098944,p,y,0.6832704965003027,-0.4215537910045369
m,-1.2452779471111408,-0.28803276339245565,p,r,-0.5549676690222417,1.3603855978576918
w,-0.4766587348652146,-0.34825441967519327,s,p,-0.9939233879349311,0.4779157307045032
t,0.3161470290738543,0.14014107601552592,e,p,1.1953785409711486,0.31311250488729775
p,1.2011695389735024,0.03371200041497433,g,f,1.0049922416578008,2.425504135549521
j,-0.6754270449675219,0.42841683093326044,t,h,-0.6627104776939817,-0.13029485048878045
h,1.0090666552960295,-0.18146181284554494,z,w,0.3562967547837555,-0.1544471122773203
o,-0.30281255650747463,-0.28872401730730496,e,u,1.695632082410806,-1.1062252122236518
k,-0.12566051892217595,-2.371334560848069,p,r,0.6259627505509118,1.079773016755446
g,-0.25147012319344747,-1.4173784914876444,k,l,1.5755384306211755,0.4828003963063739
d,-0.5332872051076839,-1.0860165221761597,d,i,-1.3323121566212959,1.5630525959870505
c,0.12804591054799852,-1.2817090918957048,a,x,1.724320180348144,-0.3106224566722291
t,0.4385253470390548,1.0707545865995918,w,t,-0.1984743446150883,1.0559768239140273
c,-0.4838454665839929,1.8138903743288113,i,v,0.004737246487481532,0.5237072519414867
m,0.08824769861267165,1.813284553055451,t,p,-1.5109301205649337,-0.9343397487703585
h,0.37936286548890114,0.004322998535530232,r,u,0.36439719756925576,-0.3027087971658097
x,0.8078022603513914,0.058802259063184974,w,q,0.0603032010878548,-1.0875699334711186
b,1.2352840126745028,0.0428907276387394,c,i,-0.36305735053085475,0.7845576777494955
q,1.262305144437129,-1.1004937496803051,f,c,0.3619683514306054,-0.3631030254525837
a,0.22989857716259174,0.3745853946756177,o,s,1.75292519481716,-0.7258653491220443
b,0.7148852605803293,-1.067518035164106,b,i,-0.3990859429932233,-1.1486742404316195
j,-0.9007126002860804,1.4752287933264774,u,b,-1.3350842188943455,-1.1745855024968395
c,-1.5072209035970954,-0.38941057588306305,m,w,1.0045603928867457,0.5771462907213755
t,0.23539113656833574,0.6639102540536478,n,z,0.2954213448085825,0.5424020214894855
h,0.16085542535778613,0.4115605034054255,h,u,0.057909299449863574,1.0753953351081469
f,-0.1312671626603405,1.026772773300616,y,x,-0.2533702728412578,-1.395666529888818
t,-0.01966306806539684,1.1707111517607534,u,g,-0.2758494532996846,-0.8460572275009853
d,1.8434618238420342,-0.8810995464244279,o,i,1.012862452348756,-0.12492115674268
n,-0.13433656743271585,2.6216886670516337,e,u,0.8589348660611752,-0.04423235642286556
g,-0.7434588762046505,0.17745324504758975,r,w,-0.5186144360312958,-0.052026616364403984
a,1.1912986730068489,0.7143223935565676,f,t,0.9053538701942162,1.340571079752367
p,0.30690611748865065,0.5695283747076048,o,u,1.520080541135589,-0.5706252090347916
x,-1.1191632538047513,1.739629025664969,s,b,0.16897182543146697,0.011199415268317232
l,0.34589459114424354,0.5879575647271095,c,i,-0.7657126059125176,0.3344894324276784
z,-0.5430780229496778,-0.2289791779555257,x,d,-0.537814558260332,0.9275213931997311
g,1.135673691147258,0.6687050428641033,u,e,-1.5150158581499567,1.2156001262987757
s,0.47108707293180485,-1.4113912984180326,g,o,-2.476743706765687,-0.7860585815833324
s,-0.936631776978061,0.46960899190005967,a,u,0.06783917351841827,0.633836049625413
a,-0.47924318687535183,-1.207560673341218,w,a,-0.4638618661350259,-0.760005351565009
u,0.2890370743120335,-0.7389453157060916,c,p,0.803102990244283,-0.5541983605229774
e,1.2011427455612262,-0.005984799541770869,i,m,0.4991918956436042,2.247811093029529
v,0.9489307356581161,-1.7341811396130766,d,q,0.45339690592001575,-1.037837040375245
q,-1.1411415945733072,-0.7830944099462069,a,b,-1.1728491840745572,-0.4732630243863289
z,1.1882690537823417,0.8764603063402788,q,v,1.346734955866611,-0.3340334481529079
j,-0.060372216382620254,0.6682291085687028,m,q,1.3471144792645318,1.3201108038989742
m,-1.361097403962857,-0.2480864314077907,y,e,-0.000584796856984096,0.78444114877879
k,-0.24405637646946787,0.3121171836336975,b,q,-1.4452087629204182,-0.6303538591536821
w,0.564711550442027,-1.0916274548426672,c,z,0.8497588454942452,0.6939653330981432
a,0.9860597206014268,-1.3159791607743494,m,r,2.8420969944473735,-0.3351526797021682
d,-0.09111960070053705,-0.29523082425408226,t,q,-0.022397094923529887,0.9240318969946233
k,-0.437229535449445,-0.5587823062065369,v,y,-1.2875446980574607,-0.548141868657886
j,0.9326842785103029,0.5292239922389821,u,u,-1.307792911183301,-0.5370378413875997
g,0.5725388098440769,0.08408934760588267,h,j,0.10917601729642391,1.7018142124819295
q,-0.03568828962303985,-1.580822980781393,r,f,0.02178205430310353,0.6226811366214845
m,-1.9600175553003985,-0.6389823140102115,g,t,0.450192393373578,1.0896637013074522
z,-0.49657669219021977,0.1975191327391719,c,o,-0.7033081928837395,-1.4643392926870713
e,0.7923374169674076,-1.2528253321763474,y,m,-0.7926700629360328,1.38897277880629
q,0.18783945491731274,0.05579102608310407,a,a,-0.6296581862107143,0.37097871247486197
k,0.5070727194836576,-1.3281169664251606,b,i,1.8185622683092086,0.23998890657798344
g,0.5296025059042403,-0.5484491554562448,h,l,-0.4692340392637739,0.18291240764324632
y,0.578820476195267,1.2070259499273652,f,j,0.17283424169305261,0.4046798862824022
f,-1.8034935191664576,-1.5384448623640978,s,h,0.2462981801268811,0.7644294042917593
o,0.9424143233063769,2.8132907524475215,o,u,1.3744739939163477,-1.2084943913791053
w,2.1828603066003,0.18393544409534282,z,n,-0.025891247571703822,-0.7529139558273378
p,1.189525328952423,-1.1736809078191914,e,f,0.9200285250963509,0.816114338630926
e,1.981395814062612,-1.1620930322795462,q,y,0.6110978214640209,0.14641739020963898
h,-0.34474429439012644,0.5097981420805009,a,q,1.248966116698155,1.4971304261829568
m,0.4807719063931191,-1.006959869691844,z,g,0.8286609955257978,-0.7291288183717832
x,-1.73680320199971,1.7430888321938252,v,x,0.36348853532527775,-0.49915813745152654
u,0.37532423024051825,-0.7103814150113914,l,l,0.9184455217325831,0.7165584607682289
m,-1.2792799301740974,-1.0218212683975654,m,i,-0.14753083055885127,0.21137472457344994
c,0.9854488466732253,-0.5198879687759669,q,r,1.0378460610723175,0.5614595748071406
d,-0.9137378783646383,0.7580937447551237,x,j,-0.7080638112924522,1.4288662654419193
e,-1.1492151154316315,-0.4821252399860795,u,w,1.065238462455752,0.5064012511480087
v,-0.8397755271003369,-0.039010082972647374,k,w,0.8532585739401564,0.08306665536735215
t,-1.44160517939061,-0.22295121996631648,z,m,0.22921843323650323,0.577699823911337
q,1.4200497870964743,-0.607192237485821,j,p,-0.4989383971739004,0.44059649963315567
m,-0.014750677949915452,-0.2735362757030353,u,j,0.28999234608603514,0.24449929488157912
v,0.09393715764835588,-1.0908279507759346,h,v,-1.4330624876159141,0.7068010174558156
v,-1.5003873664868208,0.47296689862707014,m,z,-0.7520183596123995,1.0510855554938328
q,-0.6183776002440348,-0.7880978780720346,q,t,0.19696023258776324,0.3845280749365627
b,-1.8292941682177664,0.7410035041852087,v,x,2.170317008792211,-0.7484548323417382
y,2.447172836232883,-0.04986790581826874,g,s,1.3819108385545427,-0.27637796610729426
v,0.5239997044647271,1.2770048150260607,q,x,-0.793107901597293,-2.2307236339403222
f,0.36100422361490564,1.226040534336997,t,f,2.059993173329311,0.2994283104004372
z,1.442837612563317,1.7398365053023965,p,z,0.5986920647409294,0.27248209510177474
l,1.8970886702951748,0.48538185582719473,s,j,-0.16340853654060905,0.02601536098955609
d,1.1302002439120764,0.6643582918971707,b,z,-1.2292420242572875,1.6071074945916843
n,0.8065976780034905,-0.06881898237215854,q,i,-0.6759232095985922,0.5838590332667113
r,0.38333240094306764,0.4807956911151558,z,h,1.9433226528123617,-1.9022431303745384
c,1.749063125218064,0.43789923769332917,g,t,-0.2555746961411481,0.9809918922784311
f,0.43571138324577025,-0.0984066668635436,e,v,0.9504736074410477,0.9962283170373478
b,1.4744628320352167,-0.28169684789648636,r,y,-0.8026636808899899,0.06582762239599503
i,0.897905026091485,-0.6641598246895479,w,i,-0.7981067846997815,-0.9761649822191122
a,0.14370052417284668,0.46656344025968727,j,u,-0.16616273305932902,0.407589912548876
z,0.24688299477676012,1.3050212049881287,z,j,-0.35057581013468697,-1.208146440736719
w,-1.8881611294786325,0.05425505230255776,c,u,-0.05011098717640167,1.1044238067952854
x,0.36098622228161975,0.11487265051786714,e,x,-0.46255119454686144,0.577535248593127
k,-1.6271159722204065,-1.978887713220759,s,s,-0.5041013616207287,1.2271774308951025
b,-0.34810254308648186,1.178132450720512,n,t,-0.8332506827251361,-0.617309581937908
s,-0.23305265446056522,-0.6003124701420965,o,e,-0.7601765573111536,1.8551602250939236
h,-0.9034921074528283,-0.5784033072926215,c,t,0.25266931894625005,0.09358699280583872
h,0.03522131908201039,-1.9830419607531595,e,p,0.48023364826313725,-0.23142529396456585
d,-0.1154149872476561,0.22094924529052445,g,m,0.48422361900449573,0.854569052703438
x,1.0610447313695275,0.05703327816909357,z,z,1.635467802159563,0.05022957963513053
b,0.03376806057376297,-2.488751361913808,n,s,0.06757784172717167,-0.14427007348259446
u,0.8803915802748241,0.555782560991814,h,a,-0.660684253489172,-1.204482287683028
t,0.07165987400262541,1.3190700167106397,n,z,-1.2348882284161042,-0.8504723629016375
n,-1.4824137391024241,1.7253474095189343,v,o,-0.12087679979226576,-1.403656891045958
d,1.0573504063520913,-1.9162677247850262,k,d,-0.7342806642289489,0.2215220101111443
m,-1.0830547845508331,-0.04187369871566679,h,e,-0.8883451478037311,0.9281664119505095
d,0.07337183807044885,-1.7521399719349984,s,q,0.8475022594864053,-0.22854397811117538
r,1.7020488882556462,0.9134761327110811,t,q,0.7381205950417419,-0.09298127303784329
y,-0.570648252491912,-1.14314087239053,d,g,-0.7043403479923809,1.0091984623784809
v,-1.2618581303521568,1.1952465115111994,w,k,-0.06969343268620523,-0.6768868557499919
x,-0.26927427901974177,0.2209163096098464,v,w,-0.6940932559349962,-1.7370952120263186
c,0.634988814286144,-1.7702640980997233,k,r,0.8327438271802682,-0.2001994768818639
i,-0.5538543050389624,-1.3087808608283256,m,n,-1.2028521189322563,-0.06693600345049595
k,0.15535552091417223,-2.3999930544945056,q,d,-0.3059449519982465,0.821111306428629
u,1.0722325154850592,-1.1145422947987396,m,s,0.8735166091962641,-0.42636324147523597
l,0.629798283778683,1.2523896951881621,p,x,-0.9063915007932286,1.3534035213873075
t,0.5930433708448063,0.7938606684930073,v,e,0.08297252000974406,0.638301622857387
i,0.10439086581447629,-0.7559147189672456,w,w,-0.4920842402009386,-0.14082604067597831
i,-1.0345958396855528,-1.8789759574673757,p,z,0.9227987320606492,-1.5461145766391586
g,0.6521279710097427,-0.5272484875235733,w,b,0.2805799339819064,-0.1430791345170066
b,-0.8071527625229965,-2.285656214132166,p,y,-0.23440977523898088,0.19398521141743216
i,-0.7037386283439899,-2.8808136851557395,w,j,0.8502837154070476,-0.18531410349508579
k,0.11584388642596036,0.6483340418544296,j,k,0.6064688429501395,-0.14068690744886037
i,-0.4844215276127045,-0.60387686211147,m,b,-1.248712979086083,-1.4119087130930366
n,0.955439444965995,-0.6789081242895096,d,u,-0.761458773837128,-0.5886174329612637
f,-1.2872150425555906,0.531381987411539,g,a,0.884602326655367,-0.5492465586579216
k,1.1556662215738085,0.19004648812999347,b,z,1.311034522857458,-0.6064693230736707
f,-0.8279989474239253,-1.9617146562257375,q,v,-0.5760685636000952,1.10327285337425
n,-0.021431021825839988,-1.004819914064798,g,l,0.20669125025128496,1.6157506362767708
x,-0.3401235072987197,-0.10866184790869428,x,x,-0.6062488098036761,1.6522966440628695
f,-0.37643174518847833,-1.1083166999298624,f,y,-0.16175491540593784,1.0776695386868576
z,1.0116800188212214,0.6033836436056329,g,f,-0.7578542512498987,1.1481986916791262
v,1.373462022576485,-1.1180255721433396,w,x,-0.2663228532629746,-0.22571139393220677
g,-0.7104886884343945,-0.5126308987945968,a,i,0.2738668060807228,0.927576892768103
n,-0.008966693242444786,-0.23097336779952,d,c,-0.0258062080541167,-1.51426457962357
q,-0.949290388838379,0.4924439032518879,x,d,0.5307846234977185,-0.9269956915041417
b,-1.1171731226391306,0.7321278192616143,a,h,-1.7126889868246127,0.2636855171913558
n,-0.641252488458147,0.7157394501306138,f,d,0.6746803447128197,-1.6073590786090726
x,0.2750054830954014,0.33331426937814995,a,b,-0.40193841538828107,-0.5582568083880606
p,-0.8819566960344633,0.16221804242658894,p,s,-0.41213561761061757,-0.4009123264474368
f,-1.5068051523064552,1.1421668588937293,s,j,1.5922257405471762,0.728775998181577
j,-0.14950305263770108,0.6406653577136876,s,t,1.431205704184273,-1.620082713087202
p,1.6407607730776799,-0.04402321903388124,e,q,-0.14767798287859857,1.7985230260664746
q,1.5639840942618686,-0.48728452636527764,f,p,0.282958795036529,-0.4290724431029552
o,-0.12070135898902691,-0.8099761287363788,n,i,-0.590662851118678,0.7506033582471259
y,0.9592177519763845,0.331535269216819,c,s,-0.2465987590867821,0.5239700400735331
b,0.18315620321099094,-1.1276944176038572,l,l,-0.2407817101551433,0.44660901531839897
d,0.8533067063984227,-0.5930519715767348,n,r,-0.45293220069102696,1.4373971455338306
x,0.2801410286970241,0.22860469699675667,m,q,0.19079885742043526,1.2987953773411969
g,0.9926620016742324,1.6546350402278855,z,a,-0.7689642558004117,0.9251699257851285
n,0.32165276442135193,0.2881258631407444,x,f,1.2090287204265866,0.6311549454490264
g,-0.05584591165396652,-1.1023905752746943,u,p,0.7953385942485112,0.3568446353600446
n,-1.0796407228719815,1.588518226117451,g,m,0.26312260622761974,1.2016419481556688
s,0.714827209288732,-0.26366268412824057,n,e,-0.8070399682965929,0.5986772245155577
d,0.9343562457348018,-0.3857440865280734,g,r,0.39510119281573564,0.7318466690627586
v,-0.4661898816797594,0.2507664186922718,d,p,-0.4641021334732411,-0.035064968000821956
h,-0.05640478813752435,0.16755489160901138,g,t,-1.8919727852450676,-0.19787777950218047
s,-1.1977907885972225,0.6154596150467952,y,v,-0.06486932149828453,2.696688546478064
h,0.5559325442556998,-1.7053462918386455,v,u,2.127297347157625,-0.42871107205692655
b,0.4453405760151008,-0.5862981405571421,w,w,0.46384707062216474,0.78715672668412
t,0.781075426850782,-0.5783684789404564,e,x,-2.057364769342606,0.2482353305626506
g,-0.7857328101250506,-0.15208013455172026,j,p,-0.6711482583015965,1.7536540715924822
w,-0.42287735298986806,1.439623359282501,i,r,0.2957541978546214,0.6343547785743098
e,-0.9128461537925048,0.5252097188642657,b,g,-0.1992690384202913,0.5701475904709917
j,0.007315062028044085,-1.0400043225447562,m,o,-0.7390364652634995,-0.9197441398574097
l,1.230833350850933,2.1909898354035495,z,p,-1.3926729364213142,-1.3330550121250475
o,-0.5178725615655908,0.334228976491132,k,s,-0.27380614922557295,0.5612950302775016
t,-0.7559466006699426,-0.17225852654454224,t,e,-0.9054482381023283,-0.5094681464416412
s,-2.296216561699869,-0.31522787234541194,g,d,-0.13234622219747783,-0.9582637444128591
i,1.2871899006984213,0.580057768756478,q,x,0.5739230320450804,-1.363763136334731
z,0.26406471945223287,0.8312654266278907,o,t,1.1378584983244686,-0.9228227204743715
r,0.7097938942824985,-0.9382492850629551,z,h,-0.06014231994685585,-1.9295459597364206
h,-0.022584306455960438,0.9062535291410921,d,w,-0.6870252504447528,1.320270325061695
h,-0.11511873680955444,0.7001940475425343,q,i,-1.7558012804069734,-0.1471500498877506
l,0.3576734580460571,0.2652767073810091,x,u,0.5716494281809598,-0.7626137011133699
f,0.35044724888190487,0.11542753089160936,z,y,1.1124297584247445,0.08825712468010312
d,0.6867821577843852,1.786138044594684,l,y,-0.899334462336645,-0.6843596343283954
t,0.5405391686346116,0.9889382428179248,c,w,-1.7023121606511082,-0.95964260964141
c,-1.3452928525037529,0.6010596833331193,n,t,1.2650261423996485,-1.2500007040030774
o,-1.152596235965999,-1.535085950346348,c,a,-0.4582390234245852,-0.3931286997825097
g,0.03946323489193783,1.8809696991010199,c,w,-2.030423885276823,-1.679138954744221
z,-1.199488526854734,1.3497333633259903,o,f,-0.5673401095569537,-0.3016022822677609
m,-0.6085492925307113,0.6438333129148162,i,h,-1.3235950622687898,0.03125299054474204
e,-0.33042178900663216,0.646882953788372,d,w,-0.2092310273903738,-0.8942524399370024
h,0.5665267897567332,0.19209688499035477,b,n,-2.294363507325159,-0.20613967101080186
j,2.0567435951229474,1.7377515751708272,b,s,0.15941858769901773,0.364482072203179
m,-1.2338333207016283,-0.04426103833186096,h,z,0.9557062379007963,-0.6069522898553781
j,-0.3611006130313647,1.141871206624846,y,m,0.00921478562816848,-0.30231862994875797
a,-1.2899440734799206,1.2120492234282365,w,r,1.3236876362267647,0.4536571844698244
w,0.14977716230226823,-2.075741610773001,g,a,1.2235738300900587,-0.4198289047093793
d,1.1844133849990788,1.056083392824045,c,q,1.1314315089096014,1.3131617325474783
k,0.7200735468763718,-0.5136795180461311,r,t,2.0945857532144587,0.8254729327075375
i,-0.518843094143702,0.052963418432379006,u,f,1.4390157718923047,-0.17644451719409512
x,-0.9996738924512604,-2.2323574932032173,i,x,-0.3909394812148727,-0.4925310057613961
a,-1.1987462738605965,-0.5757835612876558,t,x,0.5159199856622815,0.6062164109488679
b,0.5710824893671991,-0.7475132354948141,k,u,-0.05616382035808521,1.4868817197920172
j,-0.19702738149308802,-0.5177360445607023,j,w,0.01627083676389744,0.2435114376952921
c,0.3377798591178978,0.8747614838944906,z,q,1.5284654063468397,0.1359345249856206
l,0.369364407861516,0.1005843242866637,i,h,2.091629293356794,0.8059236354446996
k,-0.2810694106871126,-2.529490526979669,q,e,-0.915671113135273,0.26213744914342935
f,1.182886076014463,1.31737037595775,v,x,0.08872387468918762,0.4017309145264449
v,0.09139339398682073,0.8407315233269798,d,b,0.09753989471741263,-0.030198078256982248
v,0.868319223053915,0.8049778033700734,l,u,-0.14185233936274572,-1.6740697244967897
n,1.3780368329954173,-0.16780442455873612,h,u,1.1310522380245245,-0.3685984628322125
y,1.758324839895392,0.7711606293375353,w,k,-0.18923678626082263,-0.4555230647869373
y,1.255266383085356,0.819671082275945,i,b,-0.22379158490294282,-0.5041017797528038
b,-0.31666127112245096,1.0010702073236017,h,i,0.2587949022254862,0.3620925110273867
p,-2.5609965036388074,-1.6403298062029805,n,o,-0.7460116169634834,0.805104444442689
t,-0.4798472847700491,1.0571132112601642,a,j,-2.0454269839595574,0.7594506437341018
d,0.5722690823130889,-0.9256190215833628,n,g,-0.1221708853689625,-0.7478536882282001
k,1.3721546039706987,0.27806851179428627,k,z,-0.8525997478832461,1.624647471119682
t,-1.857734063863224,2.5528162033450994,o,j,0.8622019311866631,0.6653419146945528
a,0.475750249928863,-1.0093581476524305,t,t,-1.0317575943008483,0.12817438190568345
v,-0.36177887601437786,1.4874912416457657,z,n,-0.5869203319882597,-0.545397166267825
q,0.8091794268093848,-0.03548857253128945,f,y,-0.5088400368777335,-1.1143623732943644
e,-0.7272274615139033,0.6447710955698363,u,r,0.533222334029641,-0.18460559686229758
o,-0.2000957767335491,0.4714731677823307,i,c,0.9287707502121354,0.3880111982773446
m,-0.058558604943898966,1.7238792886823553,e,v,0.8937942847967937,0.3757854117238749
j,0.34205192704955656,0.026577611414478203,n,j,0.6056187152430893,-0.5696421866558238
w,0.5728464473872136,0.7049869015616602,c,h,0.07959131379133377,2.149398035944673
h,0.2164302572106358,0.27170740048370334,q,k,0.2302136628991663,0.20659703850760633
c,1.0846332828465295,0.5643940574749567,z,x,-0.19016795818807844,0.21704823896529968
d,-0.6078573280810751,-0.2514384541555998,h,d,0.3990253162883057,-0.4725533875713108
n,-0.36197343584856717,0.9822673963187434,r,j,0.00012924272670146924,0.8566011268830521
p,-0.028895700300953113,0.1628536208179467,i,s,-0.8488992032845017,-0.0359174317492771
n,0.9024646867710607,-0.024304472553916594,h,v,1.4148363054755753,1.0124881976277051
e,0.4874066221792494,-1.476721701014716,b,o,0.234667577345294,1.215854206413252
o,-0.796958211599865,0.02363293256104342,a,p,-0.39067515308792955,0.5500821499346589
j,-0.7653464560711974,0.39549012327338273,u,b,-0.7904957607641195,-1.3330401255767774
s,2.070316935105517,-1.1520899235711957,j,b,0.9173476204974758,-0.9697963252873504
l,1.3330722269108637,-0.5651646538587177,c,c,-0.9370635629661148,1.8889540173174075
w,-0.8507939984593007,0.4725625789670529,u,z,0.27529565576578297,0.3233039608613456
r,-2.2209807059841444,0.14722584114498816,q,p,-0.7796323813852504,1.4669805983520219
y,0.08258534349218791,-0.7260598220472759,h,d,-0.3810747330194575,0.9260363015484372
b,0.12010418375882308,1.7213808341118935,h,t,0.21307585419358077,0.2218993557353016
j,0.7423235461720062,-0.6930199208870741,j,r,0.4288645706554991,0.31732456056020464
x,0.8946754296971311,-0.5839475312681803,s,x,-0.658852856540616,-2.2562799969752896
i,0.7654764844229983,1.8666985713655702,h,h,0.532234472150429,1.521910242732623
m,-1.3360955318408645,0.928987558261216,u,y,2.195602580681067,-0.07730618973563703
q,1.4204665514585244,-0.3865206659526003,a,v,-0.6771924775749555,1.408105189170319
u,-0.6837362835878339,0.3605651013338183,e,e,-1.0955725009405848,1.616710864884315
a,-0.4919585124252742,-2.613163787312016,f,m,0.7198223026126607,-1.1841098766076246
k,0.19151376240566864,0.17753708540187607,u,q,-0.3684321468491256,0.83271337737662
q,1.0840394284647707,-0.6766954120863283,j,p,-0.6562053731419459,-0.7519927495145963
d,-0.37774734821944717,-1.2433935913092142,m,t,-0.1939838787860231,0.7727371329558467
w,-0.6347948560264376,-0.3682057898059174,i,u,-0.8903569021957134,0.4717236452265812
n,0.48902510063739973,0.8088248536941448,i,t,-1.8501296557390163,0.0069672029782376806
s,0.028580682324319037,0.4016208874969138,d,n,0.34085523189255434,-0.3482066770030919
w,1.8786505220970533,0.824871275396883,j,m,0.0721553306192381,-0.1800091516351346
j,0.9734812738122517,-0.4726329958700581,v,h,0.7968984962835699,-0.3465124884091345
o,-0.30291265805377304,-0.26494839819975496,v,w,-0.4414097805342543,-0.9199061391945786
n,-0.28380009097677383,0.19868610627847277,d,w,-0.8210170337628642,-0.268768866999951
j,1.2758628348132603,0.9102755904792047,d,u,2.422289114347223,0.948605721184156
i,-1.2520861375291577,-0.182429556331959,s,z,0.6057027362153156,-0.2488024262091458
x,0.9127669946169624,-0.15454484491264,n,j,-0.380455263776995,0.0823532852689782
x,0.27596761345445425,0.1957412479251162,v,f,-0.0013785901334880091,0.6949821371695618
a,2.414640566440008,1.126286911449981,z,p,-1.032162530767768,0.08938023176325817
r,1.5574224961792376,0.03213689571581613,x,u,-0.0787722812311944,-1.8066314384683524
k,-0.1599991661012983,1.8196910769829089,d,n,-0.3973183566514129,-0.7311695136603412
